Topic,Frequency,Date,Terms
11,1,2016-01-15,"appointment, lifetime, judge, liberal"
12,1,2016-01-15,"community, oregon, month, whiteness"
2,1,2016-02-15,"antonin, scalia, complains, georgetown"
0,2,2016-05-09,"centralized, offend, nationalism, fuel"
8,2,2016-05-09,"proud, pride, border, security"
11,1,2016-06-07,"realism, mexican, legal, judge"
0,1,2016-07-05,"study, white, racist, racism"
12,1,2016-08-02,"whiteonblack, ap, violence, white"
4,1,2016-10-26,"loan, affect, president, student"
24,1,2017-03-16,"kendall, pepsi, jenner, cash"
0,1,2017-04-13,"whites, kill, white, racist"
23,1,2017-04-13,"kill, professor, texas, people"
12,1,2017-05-11,"embroil, dispute, shut, threat"
28,1,2017-08-04,"smash, monument, columbus, christopher"
0,1,2017-10-27,"performer, folk, refuse, white"
12,1,2017-10-27,"eradicate, english, minnesota, require"
22,1,2017-11-24,"quick, restore, fix, faith"
0,1,2018-12-24,"lefthow, hallmark, antisemitic, tribalism"
8,1,2018-12-24,"recently, electoral, ocasiocortez, alexandria"
12,1,2019-02-19,"comical, inane, courses, lists"
18,1,2019-03-19,"smolletts, beginning, jussie, escape"
0,1,2019-04-16,"shorten, oppressive, title, books"
0,2,2019-07-10,"churches, apologizes, polar, bear"
9,1,2019-07-10,"beautiful, pelosi, aoc, thing"
8,1,2019-09-04,"activism, put, times, america"
17,1,2019-10-02,"caving, macarthur, sbc, beth"
22,1,2020-01-23,"evangelism, scripture, emphasize, sbc"
4,1,2020-03-19,"marxists, war, win, education"
0,1,2020-05-15,"exploit, lives, root, black"
8,2,2020-05-15,"movement, blacklivesmatter, kneel, collective"
14,1,2020-05-15,"looting, riots, mayhem, burning"
22,1,2020-05-15,"solve, christianity, politics, identity"
0,3,2020-06-12,"brownskinned, racemonger, reeducating, imperialists"
1,1,2020-06-12,"unbelievable, graders, fourth, city"
4,1,2020-06-12,"hone, public, education, woke"
8,3,2020-06-12,"revolutionit, chaz, salute, liberalism"
12,2,2020-06-12,"perpetrate, namesake, bodiessays, rename"
14,1,2020-06-12,"barf, revolution, trump, china"
16,1,2020-06-12,"reparation, board, county, loudoun"
20,1,2020-06-12,"forfeit, guarantee, undo, physical"
0,5,2020-07-10,"profiteering, bureaucracy, footprint, expand"
5,1,2020-07-10,"whirlwind, bad, win, democrats"
8,2,2020-07-10,"dissident, poverty, recognize, courage"
9,1,2020-07-10,"worse, elect, joe, culture"
12,3,2020-07-10,"supremacy, today, promote, contribute"
18,2,2020-07-10,"implosion, eat, circus, language"
19,1,2020-07-10,"exam, prospective, lawyer, bar"
20,2,2020-07-10,"prosper, obscene, scam, training"
0,4,2020-08-07,"sandia, labs, internal, govt"
3,1,2020-08-07,"airline, gate, appalling, agent"
4,1,2020-08-07,"backlash, start, time, parent"
5,1,2020-08-07,"psychotic, obsession, save, democrats"
8,1,2020-08-07,"revolution, america, left, american"
12,2,2020-08-07,"babies, baby, ibram, kendi"
14,2,2020-08-07,"maoism, larp, campus, academic"
15,1,2020-08-07,"rochester, louisville, tension, portland"
17,1,2020-08-07,"stripes, stars, wonderful, newspaper"
20,19,2020-08-07,"training, federal, trump, antiamerican"
22,1,2020-08-07,"reconciliation, era, evangelical, hard"
28,1,2020-08-07,"cult, rufo, chris, government"
0,13,2020-09-05,"affirm, directive, bear, vision"
1,9,2020-09-05,"high, lawndale, nm, incorporate"
2,1,2020-09-05,"silent, majority, speak, anticrt"
3,1,2020-09-05,"proceeds, pull, funding, antiracist"
4,5,2020-09-05,"aim, nonprofit, back, radical"
5,9,2020-09-05,"coney, amy, barrett, win"
6,1,2020-09-05,"uncle, sport, connecticut, tim"
8,9,2020-09-05,"deserve, bad, america, pity"
9,4,2020-09-05,"biden, ethanol, excited, oftball"
12,9,2020-09-05,"white, black, designate, facultystudent"
15,2,2020-09-05,"shoplifters, freaks, spectacularly, stunt"
16,1,2020-09-05,"scale, shook, foundations, society"
17,3,2020-09-05,"effects, adverse, generals, obvious"
18,3,2020-09-05,"woke, twinkling, ruthless, stroke"
20,31,2020-09-05,"training, trump, order, federal"
21,2,2020-09-05,"flash, slanted, twopage, dumbest"
22,3,2020-09-05,"catholics, deepen, inequality, colonizers"
27,5,2020-09-05,"1619, project, daring, govt"
28,1,2020-09-05,"recent, christopher, rufo, admin"
0,8,2020-10-03,"reilly, antigod, translated, commons"
1,3,2020-10-03,"pigs, guinea, thousands, schools"
2,1,2020-10-03,"disinvite, chapel, babylon, bee"
4,1,2020-10-03,"indoctrination, push, back, education"
5,2,2020-10-03,"prop, manufacturer, task, thrive"
8,5,2020-10-03,"reinvented, shining, civilization, courage"
9,3,2020-10-03,"personality, instrument, biden, infamous"
12,8,2020-10-03,"racist, white, teach, traits"
15,2,2020-10-03,"posting, images, black, groups"
18,3,2020-10-03,"vaseline, astonishing, illiberalism, woke"
20,6,2020-10-03,"training, diversity, trump, order"
21,1,2020-10-03,"vice, pack, presidential, court"
24,1,2020-10-03,"selfmake, disease, california, union"
26,2,2020-10-03,"plcaa, appeals, void, intrusion"
0,7,2020-10-31,"base, politic, scapegoate, stereotyping"
2,1,2020-10-31,"scholars, anticrt, school, teach"
3,1,2020-10-31,"heterosexuality, adopt, high, make"
4,3,2020-10-31,"counter, patriotic, commission, install"
5,6,2020-10-31,"election, islamist, muslims, france"
8,2,2020-10-31,"pc, workingclass, notice, multiethnic"
